Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,51.720001,52.189999,51.060001,52.080002,50.903477,16646400
2018-04-04,51.130001,53.040001,51.009998,52.910000,51.714725,15952700
2018-04-05,53.340000,53.959999,53.049999,53.259998,52.056816,16488800
2018-04-06,52.650002,52.919998,51.959999,52.230000,51.050087,22943800
2018-04-09,52.500000,53.330002,52.160000,52.250000,51.069633,17032000
2018-04-10,52.990002,53.060001,52.119999,52.619999,51.431278,14594700
2018-04-11,52.320000,52.470001,51.720001,51.930000,50.756863,14673200
2018-04-12,52.160000,53.270000,52.029999,52.700001,51.509472,19967800
2018-04-13,52.009998,52.299999,50.810001,50.889999,49.740356,32054900
2018-04-16,50.590000,51.340000,50.310001,50.799999,49.652393,31879100
2018-04-17,50.950001,51.160000,50.490002,50.570000,49.427586,25507100
2018-04-18,50.779999,50.970001,50.259998,50.389999,49.251652,21055700
2018-04-19,50.509998,51.610001,50.490002,51.540001,50.375675,23678400
2018-04-20,51.930000,52.820000,51.820000,52.560001,51.372631,31149300
2018-04-23,52.549999,52.840000,52.180000,52.610001,51.421505,17723900
2018-04-24,52.950001,53.750000,52.180000,52.509998,51.323761,23052100
2018-04-25,52.439999,53.490002,51.930000,53.110001,51.910210,20978500
2018-04-26,52.990002,53.110001,52.259998,52.439999,51.255341,17025800
2018-04-27,52.279999,52.939999,52.209999,52.360001,51.177151,12304300
2018-04-30,52.560001,53.049999,51.959999,51.959999,50.786186,17050500
2018-05-01,51.759998,52.599998,51.599998,52.560001,51.372631,13903800
2018-05-02,52.380001,52.869999,52.060001,52.189999,51.010990,16397200
2018-05-03,51.619999,51.790001,50.810001,51.540001,50.754951,19216100
2018-05-04,51.169998,52.900002,51.070000,52.410000,51.611698,16660500
2018-05-07,52.970001,52.990002,52.380001,52.660000,51.857891,16259100
2018-05-08,52.720001,53.709999,52.630001,53.189999,52.379818,20786200
2018-05-09,53.450001,53.980000,53.349998,53.759998,52.941135,16286700
2018-05-10,54.130001,54.730000,53.630001,54.650002,53.817581,20699000
2018-05-11,54.689999,54.930000,54.270000,54.450001,53.620628,14424000
2018-05-14,54.779999,54.820000,54.330002,54.480000,53.650169,12809100
2018-05-15,54.430000,55.279999,54.380001,54.750000,53.916058,14991100
2018-05-16,54.700001,55.320000,54.560001,55.040001,54.201637,16450200
2018-05-17,54.400002,54.669998,54.029999,54.220001,53.394131,21622400
2018-05-18,54.150002,54.419998,53.689999,53.700001,52.882050,21492700
2018-05-21,54.080002,54.630001,54.070000,54.540001,53.709259,11491400
2018-05-22,54.630001,55.650002,54.439999,55.259998,54.418289,17398200
2018-05-23,55.029999,56.180000,54.630001,56.180000,55.324272,23429000
2018-05-24,55.869999,55.900002,54.439999,54.669998,53.837273,24673400
2018-05-25,54.599998,54.990002,54.529999,54.900002,54.063774,17741900
2018-05-29,54.040001,54.259998,52.639999,52.950001,52.143475,31604000
2018-05-30,53.660000,54.439999,53.380001,54.230000,53.403976,16416200
2018-05-31,54.209999,54.380001,53.799999,53.990002,53.167633,17515900
2018-06-01,54.560001,55.020000,54.279999,54.689999,53.856968,14100200
2018-06-04,54.790001,55.169998,54.599998,54.830002,53.994839,10593700
2018-06-05,54.610001,54.930000,54.290001,54.500000,53.669865,11883900
2018-06-06,54.720001,55.630001,54.660000,55.580002,54.733418,15848200
2018-06-07,55.770000,55.990002,55.250000,55.630001,54.782654,17299600
